Name,Category,Severity,Resource Display Name,Resource Path,Resource Type
organizations/742653001909/sources/3344967813459848552/locations/global/findings/067bd86352ffdcf457097d19405e25c7,PUBLIC_IP_ADDRESS,2,lb-mig-8h63,//compute.googleapis.com/projects/load-balancer-service-project/zones/us-central1-c/instances/lb-mig-8h63,GCE Instance
organizations/742653001909/sources/3344967813459848552/locations/global/findings/06b9481f6984be514ba596cbc8805c8b,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/load-balancer-host-project/regions/europe-west8/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/079e83fa127c4506220eb8c5119dc177,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/asia-south1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/080d78b4023952d71fb08ab6866fba65,OPEN_CISCOSECURE_WEBSM_PORT,2,traffic-from-any,//compute.googleapis.com/projects/load-balancer-host-project/global/firewalls/traffic-from-any,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/08534a912e31ed6eda83e57ef5646509,OPEN_TELNET_PORT,2,traffic-from-any,//compute.googleapis.com/projects/load-balancer-host-project/global/firewalls/traffic-from-any,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/086800c3b4bc4d0493337b1e3bd8f350,PUBLIC_IP_ADDRESS,2,ssc-vm,//compute.googleapis.com/projects/ssc-project-999/zones/asia-south1-c/instances/ssc-vm,GCE Instance
organizations/742653001909/sources/3344967813459848552/locations/global/findings/086f6e88920c226e0bc11eb43b7fdcbe,FIREWALL_RULE_LOGGING_DISABLED,3,my-vpc-allow-icmp,//compute.googleapis.com/projects/load-balancer-service-project/global/firewalls/my-vpc-allow-icmp,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/0969d5f60023642861c6572901bdb855,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/southamerica-west1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/0a650f4efbee29b6608b6b14cf1ee50d,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/us-east1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/0b48bcc17c8d2ab7eeb18fc4f35d0c84,OPEN_MYSQL_PORT,2,traffic-from-any,//compute.googleapis.com/projects/load-balancer-host-project/global/firewalls/traffic-from-any,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/0bb2db44c3fb505efaa61d6d8f101ac2,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/northamerica-south1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/0d8e400f8f400546ee0e32d60ad3cf07,ROUTE_NOT_MONITORED,4,751615041559,//cloudresourcemanager.googleapis.com/projects/751615041559,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/0ec8f5da648c0dfab33a24c89a034222,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/me-west1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/0ef24e71b5dc6b813b0d74b95915d85b,OPEN_DNS_PORT,2,allow-any-traffic,//compute.googleapis.com/projects/load-balancer-host-project/global/firewalls/allow-any-traffic,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/0f6f5708c2ab428345e15612381cbabc,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/load-balancer-host-project/regions/africa-south1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/0fb77a4819e9ffc594456ab86b1e13f3,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/europe-north1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/0fd1abb5ef2771ead44755023386fbef,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/us-east4/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/0fec19a8c4d88791cfbd1afc04ce6caa,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/northamerica-northeast2/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/107d7dc755352ea55989b880f3516a19,BUCKET_IAM_NOT_MONITORED,4,751615041559,//cloudresourcemanager.googleapis.com/projects/751615041559,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/10cbaaa56cac4c9c5a6e763f09367893,OPEN_HTTP_PORT,2,test-vpc-allow-http,//compute.googleapis.com/projects/agentic-9999/global/firewalls/test-vpc-allow-http,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/113a060e2792ea3f67cfe911856aa609,EGRESS_DENY_RULE_NOT_SET,4,482298122994,//cloudresourcemanager.googleapis.com/projects/482298122994,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/119129a79edc0275e7ec262095a0bc23,CUSTOM_ROLE_NOT_MONITORED,4,459835007557,//cloudresourcemanager.googleapis.com/projects/459835007557,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1253d1b57ad86d9ac64466edb1a26d0d,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/load-balancer-host-project/regions/asia-east2/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/128f9563feb074e122ba2d096e129a06,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/asia-south1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/12fe941f772016bee242250e08d25e1b,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/europe-central2/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/13c3c027ec146c4b328361c894314e5b,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/load-balancer-host-project/regions/europe-west4/subnetworks/default,Project
